2022-12-29,18:00,56.981
2022-12-29,17:58,56.99
2022-12-29,17:57,56.904
2022-12-29,17:56,56.61
2022-12-29,17:54,56.904
2022-12-29,17:53,57.051
2022-12-29,17:52,57.0
2022-12-29,17:46,57.007
2022-12-29,17:45,57.0
2022-12-29,17:43,57.0
2022-12-29,17:42,56.953
2022-12-29,17:41,56.8
2022-12-29,17:40,56.8
2022-12-29,17:38,56.8
2022-12-29,17:36,56.077
2022-12-29,17:34,55.944
2022-12-29,17:33,55.989
2022-12-29,17:32,55.911
2022-12-29,17:31,55.826
2022-12-29,17:28,56.495
2022-12-29,17:27,56.3
2022-12-29,17:26,55.687
2022-12-29,17:23,56.0
2022-12-29,17:22,56.248
2022-12-29,17:18,56.5
2022-12-29,17:17,56.5
2022-12-29,17:15,56.182
2022-12-29,17:13,56.5
2022-12-29,17:12,56.0
2022-12-29,17:11,55.598
2022-12-29,17:10,55.544
2022-12-29,17:09,56.0
2022-12-29,17:08,55.747
2022-12-29,17:02,55.0
2022-12-29,16:57,53.693
2022-12-29,16:53,53.954
2022-12-29,16:52,54.186
2022-12-29,16:51,54.0
2022-12-29,16:50,53.975
2022-12-29,16:49,54.086
2022-12-29,16:48,54.294
2022-12-29,16:47,52.412
2022-12-29,16:45,53.981
2022-12-29,16:44,53.883
2022-12-29,16:43,54.23
2022-12-29,16:40,54.2
2022-12-29,16:38,54.555
2022-12-29,16:32,54.753
2022-12-29,16:31,54.733
2022-12-29,16:29,55.025
2022-12-29,16:27,54.84
2022-12-29,16:26,54.986
2022-12-29,16:25,55.0
2022-12-29,16:24,55.18
2022-12-29,16:23,54.984
2022-12-29,16:22,54.853
2022-12-29,16:21,54.796
2022-12-29,16:19,54.895
2022-12-29,16:18,55.0
2022-12-29,16:17,55.0
2022-12-29,16:15,55.161
2022-12-29,16:13,55.166
2022-12-29,16:12,55.166
2022-12-29,16:11,55.0
2022-12-29,16:09,55.4
2022-12-29,16:04,54.2
2022-12-29,16:03,54.2
2022-12-29,16:00,54.2
2022-12-29,15:57,54.2
2022-12-29,15:56,53.7
2022-12-29,15:54,53.7
2022-12-29,15:53,54.2
2022-12-29,15:51,55.251
2022-12-29,15:49,55.306
2022-12-29,15:45,55.512
2022-12-29,15:44,55.0
2022-12-29,15:43,55.0
2022-12-29,15:42,55.0
2022-12-29,15:41,55.0
2022-12-29,15:40,55.0
2022-12-29,15:37,54.95
2022-12-29,15:36,54.631
2022-12-29,15:34,53.7
2022-12-29,15:28,53.7
2022-12-29,15:27,53.7
2022-12-29,15:26,53.0
2022-12-29,15:25,53.0
2022-12-29,15:24,53.0
2022-12-29,15:23,53.0
2022-12-29,15:20,52.606
2022-12-29,15:15,53.0
2022-12-29,15:14,53.0
2022-12-29,15:12,51.25
2022-12-29,15:11,52.0
2022-12-29,15:08,52.5
2022-12-29,15:07,53.761
2022-12-29,15:03,54.179
2022-12-29,15:00,54.0
2022-12-29,14:59,54.0
2022-12-29,14:58,51.25
2022-12-29,14:54,51.0
2022-12-29,14:50,52.0
2022-12-29,14:47,55.0
2022-12-29,14:38,57.0
2022-12-29,14:34,58.0
2022-12-29,14:33,58.15
2022-12-29,14:32,58.15
2022-12-29,14:31,58.15
