date,GGAL
2022-12-30,330.8
2022-12-29,326.8
2022-12-28,333.2
2022-12-27,315.05
2022-12-26,312.0
2022-12-23,307.15
2022-12-22,296.5
2022-12-21,294.9
2022-12-20,270.0
2022-12-19,264.1
